Time_ms,AX,AY,AZ,GX,GY,GZ
1768149426894,-0.00257227,0.000792965,0.998747,-2.33104,1.12762,1.01344
1768149426906,0.00328711,-0.00189258,0.998259,-2.54478,1.00548,0.975267
1768149426918,-0.000619143,0.00250195,1.00705,-2.38447,1.13525,0.876031
1768149426930,-0.00379297,-0.00189258,1.00485,-2.45318,1.12762,0.883664
1768149426942,0.000113279,-0.000671878,1.00461,-2.45318,1.21159,0.891298
1768149426953,-0.00208399,0.00274609,1.00339,-2.43027,1.28792,0.967634
1768149426965,-0.00306055,0.00128125,0.997282,-2.31577,1.12762,0.982901
1768149426977,-0.000130862,-0.00116016,1.0007,-2.36157,1.16579,0.914199
1768149426988,-0.00257227,0.000304684,1.00265,-2.2089,1.23449,1.05924
1768149427000,-0.00183985,6.05434e-05,1.00339,-2.39974,1.12762,1.05924
1768149427012,0.00401953,0.00250195,0.995329,-2.21653,1.18105,0.906565
1768149427024,0.00328711,0.000792965,1.00168,-2.43791,1.39479,0.952366
1768149427035,-0.00306055,0.00543164,1.00217,-2.26997,1.32609,0.730992
1768149427047,0.000357419,-0.0079961,1.00265,-2.30814,1.14289,0.883664
1768149427059,0.00279883,0.00225781,0.997526,-2.29287,1.10472,0.860763
1768149427071,0.00450781,-0.00189258,1.00046,-2.37684,1.32609,0.990534
1768149427082,-0.00525782,0.000304684,1.01047,-2.30814,1.19632,0.952366
1768149427094,0.00548437,-0.00384571,1.00607,-2.35394,1.31846,1.05924
1768149427106,-0.00403711,0.00469922,1.00021,-2.39211,1.28029,0.944733
1768149427118,0.00426367,0.00274609,1.00558,-2.46844,1.24212,1.03634
1768149427129,0.00328711,0.000304684,1.00509,-2.24707,1.29556,0.85313
1768149427141,-0.00232813,0.00176953,0.998503,-2.39211,1.11998,0.883664
1768149427153,0.000845701,-0.00335743,0.998991,-2.29287,1.21922,1.04397
1768149427165,-0.00330469,6.05434e-05,1.00534,-2.26234,1.08945,1.08977
1768149427176,0.000357419,0.000792965,0.998015,-2.3005,1.02075,0.868397
1768149427188,-0.00135157,-0.00311328,0.994597,-2.3234,1.21159,1.08977
1768149427200,-0.00232813,-0.0014043,1.00314,-2.21653,1.29556,0.883664
1768149427212,0.00157812,6.05434e-05,0.994353,-2.61348,1.18105,0.96
1768149427223,-0.00403711,0.000548825,1.00973,-2.40737,1.13525,1.02107
1768149427235,0.00450781,0.0051875,1.00143,-2.42264,1.13525,0.914199
1768149427247,-0.000863284,-0.0014043,0.996794,-2.33104,1.21922,0.96
1768149427258,-0.00232813,-0.00604297,0.996794,-2.43027,1.05892,1.0058
1768149427270,0.000113279,0.000548825,1.00217,-2.29287,1.36426,0.944733
